"Row.Id","ID","Mating","RIX_ID","Cohort","Sex","Virus","Date_Infected","Timepoint","D0","D7","D7pct","is.baric","uniqueid","dam","sire","ccdam","ccsire","ccrix"
114,"8002x8010_0089","8002x8010",89,"1_14i",FALSE,"flu","2014-01-20",10,20.04,20.08,100.199600798403,0,"8002x8010_89_1_14i",8002,8010,"CC032","CC013","CC032xCC013"
3240,"8002x8010_0105","8002x8010",105,"2_14ii",FALSE,"flu","2014-02-03",29,20.5,19.6,95.609756097561,1,"8002x8010_105_2_14ii",8002,8010,"CC032","CC013","CC032xCC013"
3241,"8002x8010_0106","8002x8010",106,"2_14ii",FALSE,"flu","2014-02-03",29,21.9,21.3,97.2602739726027,1,"8002x8010_106_2_14ii",8002,8010,"CC032","CC013","CC032xCC013"
3242,"8002x8010_0107","8002x8010",107,"2_14ii",FALSE,"flu","2014-02-03",29,22.8,22.4,98.2456140350877,1,"8002x8010_107_2_14ii",8002,8010,"CC032","CC013","CC032xCC013"
3243,"8002x8010_0108","8002x8010",108,"2_14ii",FALSE,"flu","2014-02-03",29,22,21.1,95.9090909090909,1,"8002x8010_108_2_14ii",8002,8010,"CC032","CC013","CC032xCC013"
1206,"8002x8010_0142","8002x8010",142,"3_14iii",FALSE,"flu","2014-03-17",7,25,23.25,93,0,"8002x8010_142_3_14iii",8002,8010,"CC032","CC013","CC032xCC013"
1207,"8002x8010_0143","8002x8010",143,"3_14iii",FALSE,"flu","2014-03-17",7,21.75,22.35,102.758620689655,0,"8002x8010_143_3_14iii",8002,8010,"CC032","CC013","CC032xCC013"
1208,"8002x8010_0144","8002x8010",144,"3_14iii",FALSE,"flu","2014-03-17",7,24.9,24.6,98.7951807228916,0,"8002x8010_144_3_14iii",8002,8010,"CC032","CC013","CC032xCC013"
1209,"8002x8010_0145","8002x8010",145,"3_14iii",FALSE,"flu","2014-03-17",7,24.65,24.35,98.7829614604463,0,"8002x8010_145_3_14iii",8002,8010,"CC032","CC013","CC032xCC013"
2249,"8004x8043_0009","8004x8043",9,"7_13vii",FALSE,"flu","2013-07-22",7,27.04,25.5,94.3047337278107,0,"8004x8043_9_7_13vii",8004,8043,"CC024","CC023","CC024xCC023"
2250,"8004x8043_0010","8004x8043",10,"7_13vii",FALSE,"flu","2013-07-22",7,20.42,20.65,101.126346718903,0,"8004x8043_10_7_13vii",8004,8043,"CC024","CC023","CC024xCC023"
2251,"8004x8043_0014","8004x8043",14,"7_13vii",FALSE,"flu","2013-07-22",7,27.22,27.55,101.212343864805,0,"8004x8043_14_7_13vii",8004,8043,"CC024","CC023","CC024xCC023"
2246,"8004x8043_0018","8004x8043",18,"7_13vii",FALSE,"flu","2013-07-22",45,23.29,23.9,102.619149849721,0,"8004x8043_18_7_13vii",8004,8043,"CC024","CC023","CC024xCC023"
2247,"8004x8043_0024","8004x8043",24,"7_13vii",FALSE,"flu","2013-07-22",45,22.3,21.2,95.067264573991,0,"8004x8043_24_7_13vii",8004,8043,"CC024","CC023","CC024xCC023"
2248,"8004x8043_0047","8004x8043",47,"7_13vii",FALSE,"flu","2013-07-22",45,24.68,24.9,100.891410048622,0,"8004x8043_47_7_13vii",8004,8043,"CC024","CC023","CC024xCC023"
2711,"8004x8043_0136","8004x8043",136,"9_13ix",FALSE,"flu","2013-09-15",15,22.8,21.35,93.640350877193,0,"8004x8043_136_9_13ix",8004,8043,"CC024","CC023","CC024xCC023"
2712,"8004x8043_0137","8004x8043",137,"9_13ix",FALSE,"flu","2013-09-15",15,21.26,19.03,89.5108184383819,0,"8004x8043_137_9_13ix",8004,8043,"CC024","CC023","CC024xCC023"
2713,"8004x8043_0138","8004x8043",138,"9_13ix",FALSE,"flu","2013-09-15",15,22.76,20.4,89.6309314586995,0,"8004x8043_138_9_13ix",8004,8043,"CC024","CC023","CC024xCC023"
393,"8004x8043_0151","8004x8043",151,"10_13x",FALSE,"flu","2013-10-21",10,19.45,18.8,96.6580976863753,0,"8004x8043_151_10_13x",8004,8043,"CC024","CC023","CC024xCC023"
394,"8004x8043_0152","8004x8043",152,"10_13x",FALSE,"flu","2013-10-21",10,20.7,20.75,100.24154589372,0,"8004x8043_152_10_13x",8004,8043,"CC024","CC023","CC024xCC023"
395,"8004x8043_0153","8004x8043",153,"10_13x",FALSE,"flu","2013-10-21",10,20.9,19.75,94.4976076555024,0,"8004x8043_153_10_13x",8004,8043,"CC024","CC023","CC024xCC023"
396,"8004x8043_0155","8004x8043",155,"10_13x",FALSE,"flu","2013-10-14",45,21.15,21,99.290780141844,0,"8004x8043_155_10_13x",8004,8043,"CC024","CC023","CC024xCC023"
397,"8004x8043_0156","8004x8043",156,"10_13x",FALSE,"flu","2013-10-14",45,20.55,20.45,99.5133819951338,0,"8004x8043_156_10_13x",8004,8043,"CC024","CC023","CC024xCC023"
398,"8004x8043_0157","8004x8043",157,"10_13x",FALSE,"flu","2013-10-14",45,20.45,21.2,103.667481662592,0,"8004x8043_157_10_13x",8004,8043,"CC024","CC023","CC024xCC023"
2841,"8004x8052_0009","8004x8052",9,"9_15ix",FALSE,"flu","2015-09-21",7,23.2,18.2,78.448275862069,0,"8004x8052_9_9_15ix",8004,8052,"CC024","CC052","CC024xCC052"
2842,"8004x8052_0015","8004x8052",15,"9_15ix",FALSE,"flu","2015-09-21",7,16.7,13.7,82.0359281437126,0,"8004x8052_15_9_15ix",8004,8052,"CC024","CC052","CC024xCC052"
2843,"8004x8052_0017","8004x8052",17,"9_15ix",FALSE,"flu","2015-09-21",7,20.7,17.8,85.9903381642512,0,"8004x8052_17_9_15ix",8004,8052,"CC024","CC052","CC024xCC052"
5998,"8004x8052_0042","8004x8052",42,"10_15xii",FALSE,"flu","2015-10-05",29,17.3,13.8,79.7687861271676,1,"8004x8052_42_10_15xii",8004,8052,"CC024","CC052","CC024xCC052"
5999,"8004x8052_0048","8004x8052",48,"10_15xii",FALSE,"flu","2015-10-05",29,15.9,12.7,79.874213836478,1,"8004x8052_48_10_15xii",8004,8052,"CC024","CC052","CC024xCC052"
6000,"8004x8052_0052","8004x8052",52,"10_15xii",FALSE,"flu","2015-10-05",29,19.3,15.6,80.8290155440415,1,"8004x8052_52_10_15xii",8004,8052,"CC024","CC052","CC024xCC052"
568,"8004x8052_0054","8004x8052",54,"10_15x",FALSE,"flu","2015-10-19",45,18.3,15.9,86.8852459016393,0,"8004x8052_54_10_15x",8004,8052,"CC024","CC052","CC024xCC052"
569,"8004x8052_0059","8004x8052",59,"10_15x",FALSE,"flu","2015-10-19",45,21.7,16.6,76.4976958525346,0,"8004x8052_59_10_15x",8004,8052,"CC024","CC052","CC024xCC052"
570,"8004x8052_0060","8004x8052",60,"10_15x",FALSE,"flu","2015-10-19",45,24.3,18.7,76.9547325102881,0,"8004x8052_60_10_15x",8004,8052,"CC024","CC052","CC024xCC052"
556,"8004x8052_0068","8004x8052",68,"10_15x",FALSE,"flu","2015-10-19",15,17.1,14.2,83.0409356725146,0,"8004x8052_68_10_15x",8004,8052,"CC024","CC052","CC024xCC052"
557,"8004x8052_0075","8004x8052",75,"10_15x",FALSE,"flu","2015-10-19",15,21.4,16.4,76.6355140186916,0,"8004x8052_75_10_15x",8004,8052,"CC024","CC052","CC024xCC052"
2717,"8005x8002_0110","8005x8002",110,"9_13ix",FALSE,"flu","2013-09-15",15,19.86,14.82,74.6223564954683,0,"8005x8002_110_9_13ix",8005,8002,"CC012","CC032","CC012xCC032"
2718,"8005x8002_0111","8005x8002",111,"9_13ix",FALSE,"flu","2013-09-15",15,19.7,19.12,97.0558375634518,0,"8005x8002_111_9_13ix",8005,8002,"CC012","CC032","CC012xCC032"
2719,"8005x8002_0116","8005x8002",116,"9_13ix",FALSE,"flu","2013-09-15",15,21.15,16.73,79.1016548463357,0,"8005x8002_116_9_13ix",8005,8002,"CC012","CC032","CC012xCC032"
417,"8005x8002_0147","8005x8002",147,"10_13x",FALSE,"flu","2013-10-14",45,22.7,21.75,95.8149779735683,0,"8005x8002_147_10_13x",8005,8002,"CC012","CC032","CC012xCC032"
418,"8005x8002_0148","8005x8002",148,"10_13x",FALSE,"flu","2013-10-14",45,24.35,22.85,93.8398357289528,0,"8005x8002_148_10_13x",8005,8002,"CC012","CC032","CC012xCC032"
419,"8005x8002_0149","8005x8002",149,"10_13x",FALSE,"flu","2013-10-14",45,21.85,20.45,93.5926773455378,0,"8005x8002_149_10_13x",8005,8002,"CC012","CC032","CC012xCC032"
402,"8005x8002_0156","8005x8002",156,"10_13x",FALSE,"flu","2013-10-21",10,22.95,20.1,87.5816993464052,0,"8005x8002_156_10_13x",8005,8002,"CC012","CC032","CC012xCC032"
403,"8005x8002_0170","8005x8002",170,"10_13x",FALSE,"flu","2013-10-21",10,22.85,18.4,80.5251641137856,0,"8005x8002_170_10_13x",8005,8002,"CC012","CC032","CC012xCC032"
